Rank	Player	Team	Pos	Avg Stars	W1	W2	W3	W4	W5	W6	W7	W8	W9	W10	W11	W12	W13	W14	W15	W16	W17	W18
84	Matt Hibner	BAL	TE	3.24	4	2	4	4	2	2	4	4	2	4	3	3	BYE	5	3	2	4	3
85	Jared Wiley	KC	TE	3.35	3	4	3	4	BYE	4	3	3	4	2	4	4	2	4	3	2	4	4
86	Jeremy Ruckert	NYJ	TE	3.29	4	3	3	3	2	3	3	4	3	4	4	3	BYE	3	4	3	3	4
87	Payne Durham	TB	TE	2.76	4	2	3	3	4	3	3	2	3	BYE	3	3	4	2	2	2	2	2
88	Foster Moreau	HOU	TE	3.24	4	4	4	4	4	2	2	BYE	4	2	4	2	3	5	2	2	3	4
89	Seydou Traore	MIA	TE	3.41	4	2	3	3	4	BYE	4	3	3	4	4	4	3	3	3	4	4	3
90	Eric Saubert	SEA	TE	3.06	3	4	5	4	2	3	3	3	4	4	BYE	2	4	2	2	2	3	2
91	Davis Allen	LAR	TE	3.35	2	2	3	2	4	4	4	4	5	4	BYE	3	3	2	4	3	5	3
92	Thomas Fidone II	NYG	TE	3.12	4	2	4	4	5	2	3	BYE	2	5	2	4	2	3	2	3	4	2
93	Charlie Woerner	ATL	TE	3.12	3	3	3	2	2	3	2	5	4	3	BYE	3	3	2	5	5	2	3
94	Ben Sims	MIA	TE	3.41	4	2	3	3	4	BYE	4	3	3	4	4	4	3	3	3	4	4	3
95	Nate Adkins	DEN	TE	3.24	3	2	2	2	4	3	4	3	3	BYE	4	3	3	4	4	4	3	4
96	Will Mallory	IND	TE	3	2	3	3	5	3	4	3	2	4	3	3	2	BYE	2	4	4	2	2
97	Tanner Hudson	CIN	TE	2.94	5	3	3	2	3	BYE	2	4	2	3	5	2	2	3	3	4	2	2
98	Tanner Koziol	JAC	TE	3.24	2	3	3	4	2	3	BYE	4	2	4	2	4	3	3	3	4	5	4
99	Moliki Matavao	NO	TE	3.12	3	2	4	2	3	2	3	BYE	2	3	3	4	3	3	5	4	2	5
100	Kylen Granson	TEN	TE	3.12	4	2	2	2	3	4	2	4	BYE	2	4	2	5	3	4	4	3	3
101	Julian Hill	NE	TE	3.29	3	3	2	4	4	4	3	3	3	3	BYE	4	4	3	3	4	3	3
102	Brevyn Spann-Ford	DAL	TE	3.06	2	5	2	3	5	3	2	4	4	2	4	2	3	BYE	2	2	2	5
103	Luke Farrell	SF	TE	3.12	2	3	4	3	3	5	2	BYE	4	4	3	3	2	2	4	3	2	4
104	Josh Whyle	GB	TE	3.12	3	4	2	5	3	4	3	3	3	3	BYE	2	2	4	3	3	3	3
105	Khalil Dinkins	FA	TE	#DIV/0!	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE
106	Albert Okwuegbunam Jr.	LV	TE	3.12	3	4	2	3	3	4	2	4	2	3	3	2	BYE	4	3	4	4	3
107	Jack Endries	CIN	TE	2.94	5	3	3	2	3	BYE	2	4	2	3	5	2	2	3	3	4	2	2
108	Josh Cuevas	BAL	TE	3.24	4	2	4	4	2	2	4	4	2	4	3	3	BYE	5	3	2	4	3
109	Jaheim Bell	PIT	TE	2.88	2	3	4	2	4	5	2	2	BYE	4	2	3	3	2	2	3	4	2
110	Robert Tonyan	PIT	TE	2.88	2	3	4	2	4	5	2	2	BYE	4	2	3	3	2	2	3	4	2
111	Devin Culp	TB	TE	2.76	4	2	3	3	4	3	3	2	3	BYE	3	3	4	2	2	2	2	2
112	Hayden Rucci	SF	TE	3.12	2	3	4	3	3	5	2	BYE	4	4	3	3	2	2	4	3	2	4
113	Miles Kitselman	DET	TE	3.18	2	4	4	3	4	BYE	3	3	3	3	5	3	2	4	3	2	3	3
114	Brevin Jordan	HOU	TE	3.24	4	4	4	4	4	2	2	BYE	4	2	4	2	3	5	2	2	3	4
115	Grant Calcaterra	PHI	TE	3.24	5	4	3	2	2	3	4	5	2	BYE	3	4	4	4	3	3	2	2
116	Jack Stoll	CLE	TE	3.12	2	5	3	3	4	2	4	3	2	3	BYE	4	4	2	2	2	4	4
117	Harrison Bryant	FA	TE	#DIV/0!	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE
118	Stone Smartt	PHI	TE	3.24	5	4	3	2	2	3	4	5	2	BYE	3	4	4	4	3	3	2	2
119	Bauer Sharp	TB	TE	2.76	4	2	3	3	4	3	3	2	3	BYE	3	3	4	2	2	2	2	2
120	Ben Yurosek	MIN	TE	3.24	3	3	5	3	2	BYE	4	3	4	3	2	2	3	3	3	5	4	3
121	Jelani Woods	NYJ	TE	3.29	4	3	3	3	2	3	3	4	3	4	4	3	BYE	3	4	3	3	4
122	Drew Ogletree	IND	TE	3	2	3	3	5	3	4	3	2	4	3	3	2	BYE	2	4	4	2	2
123	Connor Heyward	LV	TE	3.12	3	4	2	3	3	4	2	4	2	3	3	2	BYE	4	3	4	4	3
124	Andrew Beck	NYJ	TE	3.29	4	3	3	3	2	3	3	4	3	4	4	3	BYE	3	4	3	3	4
125	Cam Grandy	CIN	TE	2.94	5	3	3	2	3	BYE	2	4	2	3	5	2	2	3	3	4	2	2
126	Joshua Simon	ATL	TE	3.12	3	3	3	2	2	3	2	5	4	3	BYE	3	3	2	5	5	2	3
127	Tanner Conner	NYG	TE	3.12	4	2	4	4	5	2	3	BYE	2	5	2	4	2	3	2	3	4	2
128	Carsen Ryan	CLE	TE	3.12	2	5	3	3	4	2	4	3	2	3	BYE	4	4	2	2	2	4	4
129	Blake Whiteheart	CLE	TE	3.12	2	5	3	3	4	2	4	3	2	3	BYE	4	4	2	2	2	4	4
130	Johnny Mundt	PHI	TE	3.24	5	4	3	2	2	3	4	5	2	BYE	3	4	4	4	3	3	2	2
131	Gavin Bartholomew	MIN	TE	3.24	3	3	5	3	2	BYE	4	3	4	3	2	2	3	3	3	5	4	3
132	Drake Dabney	GB	TE	3.12	3	4	2	5	3	4	3	3	3	3	BYE	2	2	4	3	3	3	3
133	Teagan Quitoriano	ARI	TE	2.94	4	3	2	2	3	2	3	4	3	2	3	5	2	BYE	4	2	4	2
134	Ko Kieft	TB	TE	2.76	4	2	3	3	4	3	3	2	3	BYE	3	3	4	2	2	2	2	2
135	Ty Pezza	BAL	TE	3.24	4	2	4	4	2	2	4	4	2	4	3	3	BYE	5	3	2	4	3
136	Anthony Firkser	WAS	TE	2.88	2	4	3	4	2	2	BYE	2	2	2	4	4	4	3	2	3	2	4
137	Brayden Willis	SF	TE	3.12	2	3	4	3	3	5	2	BYE	4	4	3	3	2	2	4	3	2	4
138	John Michael Gyllenborg	KC	TE	3.35	3	4	3	4	BYE	4	3	3	4	2	4	4	2	4	3	2	4	4
139	Nick Kallerup	SEA	TE	3.06	3	4	5	4	2	3	3	3	4	4	BYE	2	4	2	2	2	3	2
140	Jack Velling	ATL	TE	3.12	3	3	3	2	2	3	2	5	4	3	BYE	3	3	2	5	5	2	3
141	Brenden Bates	CLE	TE	3.12	2	5	3	3	4	2	4	3	2	3	BYE	4	4	2	2	2	4	4
142	Jake Briningstool	KC	TE	3.35	3	4	3	4	BYE	4	3	3	4	2	4	4	2	4	3	2	4	4
143	Sean McKeon	IND	TE	3	2	3	3	5	3	4	3	2	4	3	3	2	BYE	2	4	4	2	2
144	Keleki Latu	BUF	TE	3.12	3	3	4	3	2	4	BYE	2	3	4	3	3	3	3	3	3	3	4
145	Joel Wilson	TEN	TE	3.12	4	2	2	2	3	4	2	4	BYE	2	4	2	5	3	4	4	3	3
146	Cole Turner	MIA	TE	3.41	4	2	3	3	4	BYE	4	3	3	4	4	4	3	3	3	4	4	3
147	Colson Yankoff	WAS	TE	2.88	2	4	3	4	2	2	BYE	2	2	2	4	4	4	3	2	3	2	4
148	Bryson Nesbit	MIN	TE	3.24	3	3	5	3	2	BYE	4	3	4	3	2	2	3	3	3	5	4	3
149	Rivaldo Fairweather	ARI	TE	2.94	4	3	2	2	3	2	3	4	3	2	3	5	2	BYE	4	2	4	2
150	Zach Horton	DET	TE	3.18	2	4	4	3	4	BYE	3	3	3	3	5	3	2	4	3	2	3	3
151	Lucas Krull	DEN	TE	3.24	3	2	2	2	4	3	4	3	3	BYE	4	3	3	4	4	4	3	4
152	Hunter Long	JAC	TE	3.24	2	3	3	4	2	3	BYE	4	2	4	2	4	3	3	3	4	5	4
153	CJ Dippre	NE	TE	3.29	3	3	2	4	4	4	3	3	3	3	BYE	4	4	3	3	4	3	3
154	David Martin-Robinson	TEN	TE	3.12	4	2	2	2	3	4	2	4	BYE	2	4	2	5	3	4	4	3	3
155	James Mitchell	CAR	TE	2.88	3	2	2	3	BYE	2	5	3	3	2	2	5	3	2	4	3	3	2
156	Ian Thomas	LV	TE	3.12	3	4	2	3	3	4	2	4	2	3	3	2	BYE	4	3	4	4	3
157	Lance Mason	SEA	TE	3.06	3	4	5	4	2	3	3	3	4	4	BYE	2	4	2	2	2	3	2
158	Quintin Morris	JAC	TE	3.24	2	3	3	4	2	3	BYE	4	2	4	2	4	3	3	3	4	5	4
159	Kenny Yeboah	ARI	TE	2.94	4	3	2	2	3	2	3	4	3	2	3	5	2	BYE	4	2	4	2
160	Tanner Arkin	NE	TE	3.29	3	3	2	4	4	4	3	3	3	3	BYE	4	4	3	3	4	3	3
161	Jaren Kanak	TEN	TE	3.13	4	2	2	2	3	4	2	4	BYE	2	4	2	5	3	4	4	3	BYE
1	Houston Texans		DST	2.88	2	4	1	2	5	2	3	BYE	4	5	1	3	3	4	2	2	1	5
2	Denver Broncos		DST	3.24	3	2	1	1	4	2	4	3	4	BYE	5	3	4	5	5	2	3	4
3	Seattle Seahawks		DST	2.65	3	4	4	4	1	2	3	1	4	5	BYE	1	2	3	2	1	4	1
4	Los Angeles Rams		DST	2.59	1	3	2	2	2	4	5	4	4	4	BYE	1	3	1	2	2	2	2
5	Philadelphia Eagles		DST	2.59	4	5	1	1	2	4	2	4	3	BYE	3	2	4	1	2	2	1	3
6	Minnesota Vikings		DST	2.29	1	1	2	4	4	BYE	1	1	2	1	1	3	4	3	1	4	5	1
7	New England Patriots		DST	3	2	3	2	2	5	5	1	4	1	1	BYE	4	2	5	3	5	2	4
8	Jacksonville Jaguars		DST	2.82	5	2	3	4	2	2	BYE	1	3	5	3	5	1	3	2	2	4	1
9	Pittsburgh Steelers		DST	3.18	3	3	4	5	1	2	4	5	BYE	4	2	2	2	2	3	4	5	3
10	Los Angeles Chargers		DST	2.88	4	5	2	2	2	3	BYE	1	2	3	5	3	2	5	1	4	3	2
11	Baltimore Ravens		DST	3.24	1	4	2	5	3	5	4	2	2	4	4	2	BYE	2	3	5	4	3
12	Green Bay Packers		DST	2.71	5	5	3	2	1	2	1	4	3	5	BYE	1	4	2	4	1	2	1
13	Kansas City Chiefs		DST	3.06	2	1	4	5	BYE	4	2	2	5	3	4	2	1	4	3	1	4	5
14	Detroit Lions		DST	3.12	4	2	5	4	4	BYE	1	5	4	3	2	1	3	5	5	3	1	1
15	Buffalo Bills		DST	3.06	2	1	4	3	1	5	BYE	3	5	5	4	3	3	1	1	2	4	5
16	Cleveland Browns		DST	3.29	2	2	4	3	5	3	5	3	4	2	BYE	5	4	3	3	3	1	4
17	San Francisco 49ers		DST	3	1	4	4	2	2	4	3	BYE	5	2	5	2	3	1	4	3	2	4
18	New Orleans Saints		DST	3.12	1	3	5	3	5	3	3	BYE	5	4	1	4	1	4	2	4	3	2
19	Atlanta Falcons		DST	3	3	4	1	4	3	1	1	2	4	3	BYE	5	1	5	4	2	4	4
20	Chicago Bears		DST	2.76	4	5	2	5	1	3	3	2	2	BYE	4	1	2	4	2	1	1	5
21	New York Giants		DST	2.59	2	1	5	4	4	4	2	BYE	2	4	2	1	1	2	5	1	2	2
22	Indianapolis Colts		DST	3.29	3	3	2	4	3	5	5	2	2	4	2	3	BYE	2	5	4	5	2
23	Tampa Bay Buccaneers		DST	3.06	4	5	5	1	2	3	4	3	1	BYE	1	4	4	3	4	3	1	4
24	Dallas Cowboys		DST	2.47	3	4	3	2	2	1	2	4	1	1	5	2	2	BYE	1	2	3	4
25	Carolina Panthers		DST	2.76	1	3	5	1	BYE	2	2	1	2	4	3	2	5	4	4	3	2	3
26	Tennessee Titans		DST	2.76	5	2	3	3	2	1	5	4	BYE	2	2	2	4	1	1	5	3	2
27	Cincinnati Bengals		DST	3.29	2	2	3	2	4	BYE	3	5	3	3	4	4	5	3	4	1	3	5
28	Washington Commanders		DST	2.59	2	2	2	1	3	1	BYE	2	1	3	4	4	5	2	3	5	2	2
29	Miami Dolphins		DST	2.82	5	1	3	5	4	BYE	5	3	1	1	2	5	2	1	1	4	2	3
30	Las Vegas Raiders		DST	3.18	4	4	4	3	3	2	1	5	1	2	2	5	BYE	4	2	5	4	3
31	New York Jets		DST	3.18	5	1	1	1	5	3	4	5	3	2	4	4	BYE	2	4	3	5	2
32	Arizona Cardinals		DST	2.53	4	2	1	3	1	1	2	2	2	1	3	4	2	BYE	5	4	5	1
1	Brandon Aubrey	DAL	K	2.94	5	5	1	3	2	1	1	5	5	1	5	1	1	BYE	3	1	5	5
2	Ka'imi Fairbairn	HOU	K	2.76	1	5	5	3	5	1	5	BYE	1	1	5	1	1	5	1	1	1	5
3	Cameron Dicker	LAC	K	2.94	5	5	1	1	5	1	BYE	3	3	1	5	1	2	5	1	5	1	5
4	Cam Little	JAC	K	3.29	1	5	1	5	1	3	BYE	5	1	5	5	5	2	1	3	3	5	5
5	Jason Myers	SEA	K	3.06	1	5	5	1	1	5	1	2	5	5	BYE	1	3	5	1	3	5	3
6	Tyler Loop	BAL	K	2.76	5	2	3	5	5	1	5	1	1	1	5	3	BYE	2	1	1	5	1
7	Eddy Pineiro	SF	K	3.47	3	5	5	5	1	5	5	BYE	5	3	5	1	5	3	1	1	1	5
8	Evan McPherson	CIN	K	2.65	2	3	1	1	5	BYE	1	5	5	1	5	2	1	1	5	5	1	1
9	Jake Bates	DET	K	3.35	2	1	5	5	5	BYE	1	5	5	1	2	2	5	5	5	5	2	1
10	Cairo Santos	CHI	K	2.65	5	5	1	5	1	5	1	1	2	BYE	2	2	1	5	1	1	2	5
11	Harrison Mevis	LAR	K	2.59	1	5	5	1	1	5	5	1	5	5	BYE	1	1	1	3	1	2	1
12	Chris Boswell	PIT	K	2.88	5	1	5	1	5	2	2	1	BYE	5	1	5	3	1	1	5	5	1
13	Chase McLaughlin	TB	K	2.88	5	1	5	1	3	1	5	5	2	BYE	2	5	1	1	2	5	3	2
14	Harrison Butker	KC	K	3.47	5	5	5	5	BYE	1	1	5	5	5	5	1	3	5	1	1	1	5
15	Andy Borregales	NE	K	2.76	1	1	1	1	5	5	2	5	1	2	BYE	1	1	5	1	5	5	5
16	Wil Lutz	DEN	K	2.53	1	1	3	1	1	1	5	1	5	BYE	5	1	5	5	5	1	1	1
17	Will Reichard	MIN	K	2.76	1	2	2	5	2	BYE	5	2	1	1	1	5	5	1	2	5	5	2
18	Jake Elliott	PHI	K	3.41	5	5	2	3	1	5	3	5	5	BYE	1	3	5	5	1	3	1	5
19	Charlie Smyth	NO	K	3.35	2	1	5	5	5	5	1	BYE	1	5	2	5	1	5	2	5	5	2
20	Blake Grupe	IND	K	3	1	1	3	5	1	5	5	1	3	5	3	5	BYE	1	5	5	1	1
21	Chad Ryland	ARI	K	2.65	1	1	1	5	2	3	5	3	1	3	1	5	1	BYE	5	2	5	1
22	Joey Slye	TEN	K	3.06	5	1	5	1	3	5	1	5	BYE	1	3	1	5	2	5	5	1	3
23	Nick Folk	ATL	K	2.53	1	5	1	2	1	2	1	2	5	1	BYE	5	2	1	5	2	2	5
24	Tyler Bass	BUF	K	3	3	2	1	1	3	5	BYE	1	5	5	5	1	1	1	2	5	5	5
25	Zane Gonzalez	MIA	K	2.76	5	1	1	5	5	BYE	5	1	2	5	1	5	5	2	1	1	1	1
26	Ryan Fitzgerald	CAR	K	2.53	2	5	1	2	BYE	1	2	1	5	2	1	2	5	2	5	1	1	5
27	Trey Smack	GB	K	3.12	5	5	5	2	2	3	2	5	1	5	BYE	3	2	1	5	2	3	2
28	Daniel Carlson	LV	K	2.59	5	1	2	1	1	1	3	5	1	1	5	1	BYE	1	5	5	5	1
29	Ben Sauls	NYG	K	2.76	3	3	5	5	5	2	3	BYE	1	5	1	5	1	1	1	2	3	1
30	Jake Moody	WAS	K	3.35	1	3	1	5	5	1	BYE	1	3	5	5	5	5	3	5	5	1	3
31	Brandon McManus	FA	K	#DIV/0!	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE
32	Jason Sanders	NYJ	K	2.76	5	1	2	2	1	1	5	5	1	1	1	5	BYE	5	5	1	5	1
33	Andre Szmyt	CLE	K	3.35	1	2	5	1	5	1	5	1	2	3	BYE	5	5	5	5	1	5	5
34	Matt Gay	LV	K	2.59	5	1	2	1	1	1	3	5	1	1	5	1	BYE	1	5	5	5	1
35	Spencer Shrader	IND	K	3	1	1	3	5	1	5	5	1	3	5	3	5	BYE	1	5	5	1	1
36	Cade York	NYJ	K	2.76	5	1	2	2	1	1	5	5	1	1	1	5	BYE	5	5	1	5	1
37	Riley Patterson	MIA	K	2.76	5	1	1	5	5	BYE	5	1	2	5	1	5	5	2	1	1	1	1
38	B.T. Potter	TB	K	2.94	5	1	5	1	3	1	5	5	2	BYE	2	5	1	1	2	5	3	BYE
