Round	Pick	Team	Player	Position	NFL Team	Conference	Year
5	55	Water Rats	Tyler Lockett	WR	SEA	North	2023
5	56	Maryland Madness	Mike Williams	WR	LAC	North	2023
5	57	Hail to the Chef	Dameon Pierce	RB	HOU	North	2023
5	58	Playoff Donkeys	DeAndre Hopkins	WR	TEN	North	2023
5	59	AFCCP	Darren Waller	TE	NYG	North	2023
5	60	Offensive Lyonmen	D.J. Moore	WR	CHI	North	2023
6	61	Offensive Lyonmen	Trevor Lawrence	QB	JAX	North	2023
6	62	AFCCP	Terry McLaurin	WR	WAS	North	2023
6	63	Playoff Donkeys	Rachaad White	RB	TB	North	2023
6	64	Hail to the Chef	Brandon Aiyuk	WR	SF	North	2023
6	65	Maryland Madness	Alvin Kamara	RB	NO	North	2023
6	66	Water Rats	Antonio Gibson	RB	WAS	North	2023
6	67	Poner	Diontae Johnson	WR	PIT	North	2023
6	68	Rusty Hammer	Dallas Goedert	TE	PHI	North	2023
6	69	Banana's Bunch	Drake London	WR	ATL	North	2023
6	70	Steers and Beers	Dalvin Cook	RB	BAL	North	2023
6	71	Tua Girls One Kupp	Mike Evans	WR	TB	North	2023
6	72	Moose Men	Christian Kirk	WR	JAX	North	2023
7	73	Moose Men	James Cook	RB	BUF	North	2023
7	74	Tua Girls One Kupp	David Montgomery	RB	DET	North	2023
7	75	Steers and Beers	Evan Engram	TE	JAX	North	2023
7	76	Banana's Bunch	Cam Akers	RB	MIN	North	2023
7	77	Rusty Hammer	Isiah Pacheco	RB	KC	North	2023
7	78	Poner	Michael Pittman	WR	IND	North	2023
7	79	Water Rats	Kyle Pitts	TE	ATL	North	2023
7	80	Maryland Madness	Javonte Williams	RB	DEN	North	2023
7	81	Hail to the Chef	D'Andre Swift	RB	PHI	North	2023
7	82	Playoff Donkeys	Pat Freiermuth	TE	PIT	North	2023
7	83	AFCCP	Jordan Addison	WR	MIN	North	2023
7	84	Offensive Lyonmen	Khalil Herbert	RB	CHI	North	2023
8	85	Offensive Lyonmen	Courtland Sutton	WR	DEN	North	2023
8	86	AFCCP	Zay Flowers	WR	BAL	North	2023
8	87	Playoff Donkeys	Tua Tagovailoa	QB	MIA	North	2023
8	88	Hail to the Chef	Jerry Jeudy	WR	DEN	North	2023
8	89	Maryland Madness	Marquise Brown	WR	ARI	North	2023
8	90	Water Rats	Michael Thomas	WR	NO	North	2023
8	91	Poner	Jahan Dotson	WR	WAS	North	2023
8	92	Rusty Hammer	Zach Charbonnet	RB	SEA	North	2023
8	93	Banana's Bunch	Brandin Cooks	WR	DAL	North	2023
8	94	Steers and Beers	Brian Robinson	RB	WAS	North	2023
8	95	Tua Girls One Kupp	D.J. Chark	WR	CAR	North	2023
8	96	Moose Men	JuJu Smith-Schuster	WR	NE	North	2023
9	97	Moose Men	AJ Dillon	RB	GB	North	2023
9	98	Tua Girls One Kupp	Jaylen Warren	RB	PIT	North	2023
9	99	Steers and Beers	Quentin Johnston	WR	LAC	North	2023
9	100	Banana's Bunch	George Pickens	WR	PIT	North	2023
9	101	Rusty Hammer	Dalton Kincaid	TE	BUF	North	2023
9	102	Poner	Jamaal Williams	RB	NO	North	2023
9	103	Water Rats	Ezekiel Elliott	RB	NE	North	2023
9	104	Maryland Madness	Samaje Perine	RB	DEN	North	2023
9	105	Hail to the Chef	Gabriel Davis	WR	BUF	North	2023
9	106	Playoff Donkeys	Deshaun Watson	QB	CLE	North	2023
9	107	AFCCP	De'Von Achane	RB	MIA	North	2023
9	108	Offensive Lyonmen	Skyy Moore	WR	KC	North	2023
10	109	Offensive Lyonmen	Aaron Rodgers	QB	NYJ	North	2023
10	110	AFCCP	Jerick McKinnon	RB	KC	North	2023
10	111	Playoff Donkeys	Raheem Mostert	RB	MIA	North	2023
10	112	Hail to the Chef	David Njoku	TE	CLE	North	2023
10	113	Maryland Madness	Geno Smith	QB	SEA	North	2023
10	114	Water Rats	Russell Wilson	QB	DEN	North	2023
10	115	Poner	Jaxon Smith-Njigba	WR	SEA	North	2023
10	116	Rusty Hammer	Treylon Burks	WR	TEN	North	2023
10	117	Banana's Bunch	Tank Bigsby	RB	JAX	North	2023
10	118	Steers and Beers	Cedric Tillman	WR	CLE	North	2023
10	119	Tua Girls One Kupp	Jared Goff	QB	DET	North	2023
10	120	Moose Men	Odell Beckham	WR	BAL	North	2023
11	121	Moose Men	Devin Singletary	RB	HOU	North	2023
11	122	Tua Girls One Kupp	Jameson Williams	WR	DET	North	2023
11	123	Steers and Beers	Kirk Cousins	QB	MIN	North	2023
11	124	Banana's Bunch	Tyler Higbee	TE	LAR	North	2023
11	125	Rusty Hammer	Jakobi Meyers	WR	LV	North	2023
11	126	Poner	Rashaad Penny	RB	PHI	North	2023
11	127	Water Rats	Adam Thielen	WR	CAR	North	2023
11	128	Maryland Madness	Nico Collins	WR	HOU	North	2023
11	129	Hail to the Chef	Tyler Allgeier	RB	ATL	North	2023
11	130	Playoff Donkeys	San Francisco 49ers	Def	SF	North	2023
11	131	AFCCP	Derek Carr	QB	NO	North	2023
11	132	Offensive Lyonmen	Kadarius Toney	WR	KC	North	2023
12	133	Offensive Lyonmen	Damien Harris	RB	BUF	North	2023
12	134	AFCCP	Allen Lazard	WR	NYJ	North	2023
12	135	Playoff Donkeys	Elijah Moore	WR	CLE	North	2023
12	136	Hail to the Chef	Daniel Jones	QB	NYG	North	2023
12	137	Maryland Madness	Chigoziem Okonkwo	TE	TEN	North	2023
12	138	Water Rats	Justin Tucker	PK	BAL	North	2023
12	139	Poner	Elijah Mitchell	RB	SF	North	2023
12	140	Rusty Hammer	Buffalo Bills	Def	BUF	North	2023
12	141	Banana's Bunch	Tyjae Spears	RB	TEN	North	2023
12	142	Steers and Beers	Harrison Butker	PK	KC	North	2023
12	143	Tua Girls One Kupp	Philadelphia Eagles	Def	PHI	North	2023
12	144	Moose Men	Dalton Schultz	TE	HOU	North	2023
13	145	Moose Men	Jimmy Garoppolo	QB	LV	North	2023
13	146	Tua Girls One Kupp	Tyler Boyd	WR	CIN	North	2023
13	147	Steers and Beers	Dallas Cowboys	Def	DAL	North	2023
13	148	Banana's Bunch	New England Patriots	Def	NE	North	2023
13	149	Rusty Hammer	Cole Kmet	TE	CHI	North	2023
13	150	Poner	Anthony Richardson	QB	IND	North	2023
13	151	Water Rats	Kansas City Chiefs	Def	KC	North	2023
13	152	Maryland Madness	Baltimore Ravens	Def	BAL	North	2023
13	153	Hail to the Chef	Pittsburgh Steelers	Def	PIT	North	2023
13	154	Playoff Donkeys	Kenneth Gainwell	RB	PHI	North	2023
13	155	AFCCP	Juwan Johnson	TE	NO	North	2023
13	156	Offensive Lyonmen	Kyren Williams	RB	LAR	North	2023
14	157	Offensive Lyonmen	Michael Gallup	WR	DAL	North	2023
14	158	AFCCP	Zay Jones	WR	JAX	North	2023
14	159	Playoff Donkeys	Rashod Bateman	WR	BAL	North	2023
14	160	Hail to the Chef	Romeo Doubs	WR	GB	North	2023
14	161	Maryland Madness	Van Jefferson	WR	ATL	North	2023
14	162	Water Rats	Jake Elliott	PK	PHI	North	2023
14	163	Poner	Chuba Hubbard	RB	CAR	North	2023
14	164	Rusty Hammer	Daniel Carlson	PK	LV	North	2023
14	165	Banana's Bunch	Sam LaPorta	TE	DET	North	2023
14	166	Steers and Beers	Tucker Kraft	TE	GB	North	2023
14	167	Tua Girls One Kupp	Jacksonville Jaguars	Def	JAX	North	2023
14	168	Moose Men	Zach Ertz	TE	FA	North	2023
15	169	Moose Men	Darius Slayton	WR	NYG	North	2023
15	170	Tua Girls One Kupp	Cameron Dicker	PK	LAC	North	2023
15	171	Steers and Beers	Josh Downs	WR	IND	North	2023
15	172	Banana's Bunch	Jonathan Mingo	WR	CAR	North	2023
15	173	Rusty Hammer	Michael Mayer	TE	LV	North	2023
15	174	Poner	New Orleans Saints	Def	NO	North	2023
15	175	Water Rats	Latavius Murray	RB	BUF	North	2023
15	176	Maryland Madness	Marquez Valdes-Scantling	WR	KC	North	2023
15	177	Hail to the Chef	Greg Dulcich	TE	DEN	North	2023
15	178	Playoff Donkeys	Tyler Bass	PK	BUF	North	2023
15	179	AFCCP	Cleveland Browns	Def	CLE	North	2023
15	180	Offensive Lyonmen	Evan McPherson	PK	CIN	North	2023
16	181	Offensive Lyonmen	Jake Ferguson	TE	DAL	North	2023
16	182	AFCCP	Rondale Moore	WR	ARI	North	2023
16	183	Playoff Donkeys	Roschon Johnson	RB	CHI	North	2023
16	184	Hail to the Chef	Younghoe Koo	PK	ATL	North	2023
16	185	Maryland Madness	Chad Ryland	PK	NE	North	2023
16	186	Water Rats	Green Bay Packers	Def	GB	North	2023
16	187	Poner	Evan Hull	RB	IND	North	2023
16	188	Rusty Hammer	Israel Abanikanda	RB	NYJ	North	2023
16	189	Banana's Bunch	Matthew Stafford	QB	LAR	North	2023
16	190	Steers and Beers	Zach Evans	RB	LAR	North	2023
16	191	Tua Girls One Kupp	Zack Moss	RB	IND	North	2023
16	192	Moose Men	New York Jets	Def	NYJ	North	2023
17	193	Moose Men	Chris Boswell	PK	PIT	North	2023
17	194	Tua Girls One Kupp	D'Onta Foreman	RB	CHI	North	2023
17	195	Steers and Beers	Darnell Washington	TE	PIT	North	2023
17	196	Banana's Bunch	Matt Gay	PK	IND	North	2023
17	197	Rusty Hammer	Trey Palmer	WR	TB	North	2023
17	198	Poner	Jason Myers	PK	SEA	North	2023
17	199	Water Rats	Curtis Samuel	WR	WAS	North	2023
17	200	Maryland Madness	Jordan Love	QB	GB	North	2023
17	201	Hail to the Chef	Miami Dolphins	Def	MIA	North	2023
17	202	Playoff Donkeys	Jeffery Wilson	RB	MIA	North	2023
17	203	AFCCP	Greg Joseph	PK	MIN	North	2023
17	204	Offensive Lyonmen	Cincinnati Bengals	Def	CIN	North	2023
1	1	Unicorns & Creemees	Justin Jefferson	WR	MIN	South 	2023
1	2	Schmidts and Giggles	Austin Ekeler	RB	LAC	South 	2023
1	3	Wookie of the Year	Ja'Marr Chase	WR	CIN	South 	2023
1	4	Gridiron Guru	Christian McCaffrey	RB	SFO	South 	2023
1	5	Raptors	Cooper Kupp	WR	LAR	South 	2023
1	6	Baby Fumblers	Tyreek Hill	WR	MIA	South 	2023
1	7	The Motor City Kitties	Stefon Diggs	WR	BUF	South 	2023
1	8	M-Dogg	Bijan Robinson	RB	ATL	South 	2023
1	9	Cosmo's Crew	Travis Kelce	TE	KCC	South 	2023
1	10	Buck Wild Roosters	Nick Chubb	RB	CLE	South 	2023
1	11	Renegades	CeeDee Lamb	WR	DAL	South 	2023
1	12	Rory's Fury	Saquon Barkley	RB	NYG	South 	2023
2	13	Rory's Fury	A.J. Brown	WR	PHI	South 	2023
2	14	Renegades	Davante Adams	WR	LVR	South 	2023
2	15	Buck Wild Roosters	Josh Allen	QB	BUF	South 	2023
2	16	Cosmo's Crew	Patrick Mahomes	QB	KCC	South 	2023
2	17	M-Dogg	Amon-Ra St. Brown	WR	DET	South 	2023
2	18	The Motor City Kitties	Derrick Henry	RB	TEN	South 	2023
2	19	Baby Fumblers	Garrett Wilson	WR	NYJ	South 	2023
2	20	Raptors	Tony Pollard	RB	DAL	South 	2023
2	21	Gridiron Guru	Chris Olave	WR	NOS	South 	2023
2	22	Wookie of the Year	Jalen Hurts	QB	PHI	South 	2023
2	23	Schmidts and Giggles	Josh Jacobs	RB	LVR	South 	2023
2	24	Unicorns & Creemees	Jaylen Waddle	WR	MIA	South 	2023
3	25	Unicorns & Creemees	Jahmyr Gibbs	RB	DET	South 	2023
3	26	Schmidts and Giggles	DK Metcalf	WR	SEA	South 	2023
3	27	Wookie of the Year	Jonathan Taylor	RB	IND	South 	2023
3	28	Gridiron Guru	Travis Etienne	RB	JAC	South 	2023
3	29	Raptors	DeVonta Smith	WR	PHI	South 	2023
3	30	Baby Fumblers	Najee Harris	RB	PIT	South 	2023
3	31	The Motor City Kitties	Tee Higgins	WR	CIN	South 	2023
3	32	M-Dogg	Keenan Allen	WR	LAC	South 	2023
3	33	Cosmo's Crew	Rhamondre Stevenson	RB	NEP	South 	2023
3	34	Buck Wild Roosters	Mark Andrews	TE	BAL	South 	2023
3	35	Renegades	Lamar Jackson	QB	BAL	South 	2023
3	36	Rory's Fury	Joe Mixon	RB	CIN	South 	2023
4	37	Rory's Fury	Calvin Ridley	WR	JAC	South 	2023
4	38	Renegades	Aaron Jones	RB	GBP	South 	2023
4	39	Buck Wild Roosters	Amari Cooper	WR	CLE	South 	2023
4	40	Cosmo's Crew	Tyler Lockett	WR	SEA	South 	2023
4	41	M-Dogg	T.J. Hockenson	TE	MIN	South 	2023
4	42	The Motor City Kitties	Kenneth Walker III	RB	SEA	South 	2023
4	43	Baby Fumblers	Deebo Samuel	WR	SFO	South 	2023
4	44	Raptors	Chris Godwin	WR	TBB	South 	2023
4	45	Gridiron Guru	Joe Burrow	QB	CIN	South 	2023
4	46	Wookie of the Year	Breece Hall	RB	NYJ	South 	2023
4	47	Schmidts and Giggles	DeAndre Hopkins	WR	TEN	South 	2023
4	48	Unicorns & Creemees	Dameon Pierce	RB	HOU	South 	2023
5	49	Unicorns & Creemees	Christian Watson	WR	GBP	South 	2023
5	50	Schmidts and Giggles	D'Andre Swift	RB	PHI	South 	2023
5	51	Wookie of the Year	D.J. Moore	WR	CHI	South 	2023
5	52	Gridiron Guru	Darren Waller	TE	NYG	South 	2023
5	53	Raptors	Justin Fields	QB	CHI	South 	2023
5	54	Baby Fumblers	Justin Herbert	QB	LAC	South 	2023
5	55	The Motor City Kitties	George Kittle	TE	SFO	South 	2023
5	56	M-Dogg	Trevor Lawrence	QB	JAC	South 	2023
5	57	Cosmo's Crew	Alexander Mattison	RB	MIN	South 	2023
5	58	Buck Wild Roosters	J.K. Dobbins	RB	BAL	South 	2023
5	59	Renegades	Rachaad White	RB	TBB	South 	2023
5	60	Rory's Fury	Drake London	WR	ATL	South 	2023
6	61	Rory's Fury	Dallas Goedert	TE	PHI	South 	2023
6	62	Renegades	Kyle Pitts	TE	ATL	South 	2023
6	63	Buck Wild Roosters	Diontae Johnson	WR	PIT	South 	2023
6	64	Cosmo's Crew	Jerry Jeudy	WR	DEN	South 	2023
6	65	M-Dogg	Cam Akers	RB	MIN	South 	2023
6	66	The Motor City Kitties	Christian Kirk	WR	JAC	South 	2023
6	67	Baby Fumblers	David Montgomery	RB	DET	South 	2023
6	68	Raptors	Miles Sanders	RB	CAR	South 	2023
6	69	Gridiron Guru	James Conner	RB	ARI	South 	2023
6	70	Wookie of the Year	Evan Engram	TE	JAC	South 	2023
6	71	Schmidts and Giggles	Dalvin Cook	RB	BAL	South 	2023
6	72	Unicorns & Creemees	Brandon Aiyuk	WR	SFO	South 	2023
7	73	Unicorns & Creemees	James Cook	RB	BUF	South 	2023
7	74	Schmidts and Giggles	JuJu Smith-Schuster	WR	NEP	South 	2023
7	75	Wookie of the Year	Terry McLaurin	WR	WAS	South 	2023
7	76	Gridiron Guru	Mike Evans	WR	TBB	South 	2023
7	77	Raptors	Mike Williams	WR	LAC	South 	2023
7	78	Baby Fumblers	Javonte Williams	RB	DEN	South 	2023
7	79	The Motor City Kitties	Alvin Kamara	RB	NOS	South 	2023
7	80	M-Dogg	AJ Dillon	RB	GBP	South 	2023
7	81	Cosmo's Crew	Jordan Addison	WR	MIN	South 	2023
7	82	Buck Wild Roosters	Isiah Pacheco	RB	KCC	South 	2023
7	83	Renegades	Jahan Dotson	WR	WAS	South 	2023
7	84	Rory's Fury	Marquise Brown	WR	ARI	South 	2023
8	85	Rory's Fury	Khalil Herbert	RB	CHI	South 	2023
8	86	Renegades	Antonio Gibson	RB	WAS	South 	2023
8	87	Buck Wild Roosters	Courtland Sutton	WR	DEN	South 	2023
8	88	Cosmo's Crew	Zay Flowers	WR	BAL	South 	2023
8	89	M-Dogg	Brian Robinson	RB	WAS	South 	2023
8	90	The Motor City Kitties	George Pickens	WR	PIT	South 	2023
8	91	Baby Fumblers	Gabriel Davis	WR	BUF	South 	2023
8	92	Raptors	Samaje Perine	RB	DEN	South 	2023
8	93	Gridiron Guru	Michael Pittman	WR	IND	South 	2023
8	94	Wookie of the Year	Zach Charbonnet	RB	SEA	South 	2023
8	95	Schmidts and Giggles	Odell Beckham	WR	BAL	South 	2023
8	96	Unicorns & Creemees	Jaxon Smith-Njigba	WR	SEA	South 	2023
9	97	Unicorns & Creemees	Kirk Cousins	QB	MIN	South 	2023
9	98	Schmidts and Giggles	Dak Prescott	QB	DAL	South 	2023
9	99	Wookie of the Year	Jerick McKinnon	RB	KCC	South 	2023
9	100	Gridiron Guru	Brandin Cooks	WR	DAL	South 	2023
9	101	Raptors	Pat Freiermuth	TE	PIT	South 	2023
9	102	Baby Fumblers	Skyy Moore	WR	KCC	South 	2023
9	103	The Motor City Kitties	Aaron Rodgers	QB	NYJ	South 	2023
9	104	M-Dogg	Allen Lazard	WR	NYJ	South 	2023
9	105	Cosmo's Crew	Tank Bigsby	RB	JAC	South 	2023
9	106	Buck Wild Roosters	Michael Thomas	WR	NOS	South 	2023
9	107	Renegades	Romeo Doubs	WR	GBP	South 	2023
9	108	Rory's Fury	Tua Tagovailoa	QB	MIA	South 	2023
10	109	Rory's Fury	Jamaal Williams	RB	NOS	South 	2023
10	110	Renegades	Damien Harris	RB	BUF	South 	2023
10	111	Buck Wild Roosters	Raheem Mostert	RB	MIA	South 	2023
10	112	Cosmo's Crew	Ezekiel Elliott	RB	NEP	South 	2023
10	113	M-Dogg	Quentin Johnston	WR	LAC	South 	2023
10	114	The Motor City Kitties	Dalton Kincaid	TE	BUF	South 	2023
10	115	Baby Fumblers	David Njoku	TE	CLE	South 	2023
10	116	Raptors	Treylon Burks	WR	TEN	South 	2023
10	117	Gridiron Guru	Deshaun Watson	QB	CLE	South 	2023
10	118	Wookie of the Year	Daniel Jones	QB	NYG	South 	2023
10	119	Schmidts and Giggles	Anthony Richardson	QB	IND	South 	2023
10	120	Unicorns & Creemees	Geno Smith	QB	SEA	South 	2023
11	121	Unicorns & Creemees	Jaylen Warren	RB	PIT	South 	2023
11	122	Schmidts and Giggles	Dalton Schultz	TE	HOU	South 	2023
11	123	Wookie of the Year	Tyler Higbee	TE	LAR	South 	2023
11	124	Gridiron Guru	Elijah Moore	WR	CLE	South 	2023
11	125	Raptors	De'Von Achane	RB	MIA	South 	2023
11	126	Baby Fumblers	Kenneth Gainwell	RB	PHI	South 	2023
11	127	The Motor City Kitties	Cedric Tillman	WR	CLE	South 	2023
11	128	M-Dogg	Jonathan Mingo	WR	CAR	South 	2023
11	129	Cosmo's Crew	Kadarius Toney	WR	KCC	South 	2023
11	130	Buck Wild Roosters	Jake Ferguson	TE	DAL	South 	2023
11	131	Renegades	Nico Collins	WR	HOU	South 	2023
11	132	Rory's Fury	Rashaad Penny	RB	PHI	South 	2023
12	133	Rory's Fury	Jakobi Meyers	WR	LVR	South 	2023
12	134	Renegades	Elijah Mitchell	RB	SFO	South 	2023
12	135	Buck Wild Roosters	Adam Thielen	WR	CAR	South 	2023
12	136	Cosmo's Crew	Rashod Bateman	WR	BAL	South 	2023
12	137	M-Dogg	Chigoziem Okonkwo	TE	TEN	South 	2023
12	138	The Motor City Kitties	Eric Gray	RB	NYG	South 	2023
12	139	Baby Fumblers	Kendre Miller	RB	NOS	South 	2023
12	140	Raptors	Cole Kmet	TE	CHI	South 	2023
12	141	Gridiron Guru	Jeffery Wilson	RB	MIA	South 	2023
12	142	Wookie of the Year	Zay Jones	WR	JAC	South 	2023
12	143	Schmidts and Giggles	Curtis Samuel	WR	WAS	South 	2023
12	144	Unicorns & Creemees	Philadelphia Eagles	DEF	PHI	South 	2023
13	145	Unicorns & Creemees	K.J. Osborn	WR	MIN	South 	2023
13	146	Schmidts and Giggles	Clyde Edwards-Helaire	RB	KCC	South 	2023
13	147	Wookie of the Year	Tyler Allgeier	RB	ATL	South 	2023
13	148	Gridiron Guru	Rondale Moore	WR	ARI	South 	2023
13	149	Raptors	San Francisco 49ers	DEF	SFO	South 	2023
13	150	Baby Fumblers	Brock Purdy	QB	SFO	South 	2023
13	151	The Motor City Kitties	Justin Tucker	PK	BAL	South 	2023
13	152	M-Dogg	Devin Singletary	RB	HOU	South 	2023
13	153	Cosmo's Crew	Tyjae Spears	RB	TEN	South 	2023
13	154	Buck Wild Roosters	Deon Jackson	RB	NYG	South 	2023
13	155	Renegades	Buffalo Bills	DEF	BUF	South 	2023
13	156	Rory's Fury	Jared Goff	QB	DET	South 	2023
14	157	Rory's Fury	Roschon Johnson	RB	CHI	South 	2023
14	158	Renegades	Tyler Bass	PK	BUF	South 	2023
14	159	Buck Wild Roosters	Sam Howell	QB	WAS	South 	2023
14	160	Cosmo's Crew	New England Patriots	DEF	NEP	South 	2023
14	161	M-Dogg	Dallas Cowboys	DEF	DAL	South 	2023
14	162	The Motor City Kitties	Israel Abanikanda	RB	NYJ	South 	2023
14	163	Baby Fumblers	Kansas City Chiefs	DEF	KCC	South 	2023
14	164	Raptors	Derek Carr	QB	NOS	South 	2023
14	165	Gridiron Guru	Daniel Carlson	PK	LVR	South 	2023
14	166	Wookie of the Year	Pittsburgh Steelers	DEF	PIT	South 	2023
14	167	Schmidts and Giggles	Jake Elliott	PK	PHI	South 	2023
14	168	Unicorns & Creemees	Juwan Johnson	TE	NOS	South 	2023
15	169	Unicorns & Creemees	Sam LaPorta	TE	DET	South 	2023
15	170	Schmidts and Giggles	Baltimore Ravens	DEF	BAL	South 	2023
15	171	Wookie of the Year	Harrison Butker	PK	KCC	South 	2023
15	172	Gridiron Guru	Washington Commanders	DEF	WAS	South 	2023
15	173	Raptors	Evan McPherson	PK	CIN	South 	2023
15	174	Baby Fumblers	Jason Myers	PK	SEA	South 	2023
15	175	The Motor City Kitties	Matthew Stafford	QB	LAR	South 	2023
15	176	M-Dogg	Kenny Pickett	QB	PIT	South 	2023
15	177	Cosmo's Crew	Rashee Rice	WR	KCC	South 	2023
15	178	Buck Wild Roosters	New York Jets	DEF	NYJ	South 	2023
15	179	Renegades	Gerald Everett	TE	LAC	South 	2023
15	180	Rory's Fury	New Orleans Saints	DEF	NOS	South 	2023
16	181	Rory's Fury	Jayden Reed	WR	GBP	South 	2023
16	182	Renegades	Russell Wilson	QB	DEN	South 	2023
16	183	Buck Wild Roosters	Logan Thomas	TE	WAS	South 	2023
16	184	Cosmo's Crew	D.J. Chark	WR	CAR	South 	2023
16	185	M-Dogg	Graham Gano	PK	NYG	South 	2023
16	186	The Motor City Kitties	Jacksonville Jaguars	DEF	JAC	South 	2023
16	187	Baby Fumblers	Darnell Mooney	WR	CHI	South 	2023
16	188	Raptors	Miami Dolphins	DEF	MIA	South 	2023
16	189	Gridiron Guru	Evan Hull	RB	IND	South 	2023
16	190	Wookie of the Year	Gus Edwards	RB	BAL	South 	2023
16	191	Schmidts and Giggles	Dawson Knox	TE	BUF	South 	2023
16	192	Unicorns & Creemees	Younghoe Koo	PK	ATL	South 	2023
17	193	Unicorns & Creemees	Michael Gallup	WR	DAL	South 	2023
17	194	Schmidts and Giggles	Marquez Valdes-Scantling	WR	KCC	South 	2023
17	195	Wookie of the Year	Donovan Peoples-Jones	WR	DET	South 	2023
17	196	Gridiron Guru	Marvin Mims	WR	DEN	South 	2023
17	197	Raptors	D'Onta Foreman	RB	CHI	South 	2023
17	198	Baby Fumblers	Tyler Boyd	WR	CIN	South 	2023
17	199	The Motor City Kitties	Taysom Hill	TE	NOS	South 	2023
17	200	M-Dogg	Van Jefferson	WR	ATL	South 	2023
17	201	Cosmo's Crew	Cameron Dicker	PK	LAC	South 	2023
17	202	Buck Wild Roosters	Joey Slye	PK	WAS	South 	2023
17	203	Renegades	Zamir White	RB	LVR	South 	2023
17	204	Rory's Fury	Jason Sanders	PK	MIA	South 	2023
1	1	Rory's Fury	Jonathan Taylor	RB	IND	North	2022
1	2	M-Dogg	Austin Ekeler	RB	LAC	North	2022
1	3	Schmidts & Giggles	Christian McCaffrey	RB	SFO	North	2022
1	4	Gridiron Guru	Cooper Kupp	WR	LAR	North	2022
1	5	Rusty Hammer	Ja'Marr Chase	WR	CIN	North	2022
1	6	Cosmo's Crew	Justin Jefferson	WR	MIN	North	2022
1	7	Water Rats	Patrick Mahomes	QB	KCC	North	2022
1	8	Tua Girls One Kupp	Derrick Henry	RB	TEN	North	2022
1	9	Maryland Madness	Najee Harris	RB	PIT	North	2022
1	10	The Motor City Kitties	Dalvin Cook	RB	MIN	North	2022
1	11	Hail to the Chef	Travis Kelce	TE	KCC	North	2022
1	12	AFCCP	Joe Mixon	RB	CIN	North	2022
2	13	AFCCP	Alvin Kamara	RB	NOS	North	2022
2	14	Hail to the Chef	D'Andre Swift	RB	DET	North	2022
2	15	The Motor City Kitties	Stefon Diggs	WR	BUF	North	2022
2	16	Maryland Madness	Davante Adams	WR	LVR	North	2022
2	17	Tua Girls One Kupp	Aaron Jones	RB	GBP	North	2022
2	18	Water Rats	A.J. Brown	WR	PHI	North	2022
2	19	Cosmo's Crew	Saquon Barkley	RB	NYG	North	2022
2	20	Rusty Hammer	Leonard Fournette	RB	TBB	North	2022
2	21	Gridiron Guru	Deebo Samuel	WR	SFO	North	2022
2	22	Schmidts & Giggles	Josh Allen	QB	BUF	North	2022
2	23	M-Dogg	CeeDee Lamb	WR	DAL	North	2022
2	24	Rory's Fury	Mark Andrews	TE	BAL	North	2022
3	25	Rory's Fury	Mike Evans	WR	TBB	North	2022
3	26	M-Dogg	Javonte Williams	RB	DEN	North	2022
3	27	Schmidts & Giggles	Amari Cooper	WR	CLE	North	2022
3	28	Gridiron Guru	Cam Akers	RB	LAR	North	2022
3	29	Rusty Hammer	James Conner	RB	ARI	North	2022
3	30	Cosmo's Crew	Tee Higgins	WR	CIN	North	2022
3	31	Water Rats	Ezekiel Elliott	RB	DAL	North	2022
3	32	Tua Girls One Kupp	Nick Chubb	RB	CLE	North	2022
3	33	Maryland Madness	Kyle Pitts	TE	ATL	North	2022
3	34	The Motor City Kitties	Tyreek Hill	WR	MIA	North	2022
3	35	Hail to the Chef	Keenan Allen	WR	LAC	North	2022
3	36	AFCCP	Michael Pittman	WR	IND	North	2022
4	37	AFCCP	Justin Herbert	QB	LAC	North	2022
4	38	Hail to the Chef	Lamar Jackson	QB	BAL	North	2022
4	39	The Motor City Kitties	George Kittle	TE	SFO	North	2022
4	40	Maryland Madness	Travis Etienne	RB	JAC	North	2022
4	41	Tua Girls One Kupp	Jaylen Waddle	WR	MIA	North	2022
4	42	Water Rats	Clyde Edwards-Helaire	RB	KCC	North	2022
4	43	Cosmo's Crew	AJ Dillon	RB	GBP	North	2022
4	44	Rusty Hammer	D.J. Moore	WR	CAR	North	2022
4	45	Gridiron Guru	Terry McLaurin	WR	WAS	North	2022
4	46	Schmidts & Giggles	Adam Thielen	WR	MIN	North	2022
4	47	M-Dogg	Courtland Sutton	WR	DEN	North	2022
4	48	Rory's Fury	Brandin Cooks	WR	HOU	North	2022
5	49	Rory's Fury	Breece Hall	RB	NYJ	North	2022
5	50	M-Dogg	Tom Brady	QB	TBB	North	2022
5	51	Schmidts & Giggles	Josh Jacobs	RB	LVR	North	2022
5	52	Gridiron Guru	David Montgomery	RB	CHI	North	2022
5	53	Rusty Hammer	J.K. Dobbins	RB	BAL	North	2022
5	54	Cosmo's Crew	Mike Williams	WR	LAC	North	2022
5	55	Water Rats	DK Metcalf	WR	SEA	North	2022
5	56	Tua Girls One Kupp	Amon-Ra St. Brown	WR	DET	North	2022
5	57	Maryland Madness	Allen Robinson	WR	LAR	North	2022
5	58	The Motor City Kitties	Diontae Johnson	WR	PIT	North	2022
5	59	Hail to the Chef	Marquise Brown	WR	ARI	North	2022
5	60	AFCCP	Darnell Mooney	WR	CHI	North	2022
6	61	AFCCP	Darren Waller	TE	LVR	North	2022
